sep=,
 ,acid,atom,baby,ball,band,bear,bell,bike,bird,boat,body,bomb,bone,book,bush,card,cash,chat,city,coat,coin,cold,crab,data,deck,deer,disc,door,draw,drum,face,fire,fish,flag,foot,fort,frog,game,gate,gear,girl,goat,gold,golf,hair,hand,head,hero,hill,holy,idea,iron,jump,king,leaf,lime,lion,lock,love,luck,mail,meat,milk,moon,nest,nose,ogre,park,peak,pill,pipe,plug,pond,pony,pool,quiz,rail,rain,ring,road,rock,rose,sand,seal,ship,shoe,snow,sock,song,star,tank,time,tree,vase,wall,warm,wave,well,wind,wolf,wood,xray,yarn,zero,
rain, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : gain-grin,4 : kain-kaon-koan-roan,3 : rani-rank-rack,3 : rein-reis-rise,2 : sain-said,3 : sain-sail-sial,2 : sain-shin,4 : sain-shin-ship-shop,3 : sain-sawn-sown,4 : pain-paik-pack-sack,3 : rani-rang-sang,3 : tain-tarn-tars,2 : rani-rank,4 : kain-kina-kine-tine,4 : tain-thin-then-thee,4 : cain-carn-care-case,2 : wain-wail,2 : wain-warn,3 : wain-warn-ware,3 : wain-wail-wall,3 : kain-kina-kind,4 : fain-foin-foil-fowl,4 : wain-warn-worn-word,4 : gain-grin-gran-gray,2 : cain-carn,4 : airn-airy-aery-aero,
ring, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : rind-rend-read,2 : rink-rick,3 : rung-rune-ruse,2 : sing-sang,4 : ling-lang-lane-lase,3 : ping-pins-snip,4 : sing-song-snog-shog,3 : sing-song-snog,3 : sing-sink-sick,1 : sing,4 : sing-sang-snag-stag,2 : ting-tang,2 : ting-tine,4 : ting-tine-tyne-tyee,3 : rang-vang-vane,4 : wing-wind-wild-will,4 : wing-wind-wand-ward,3 : wing-wine-wane,4 : wing-wind-wend-weld,1 : wing,4 : wing-wind-wild-wold,4 : ping-pong-pond-pood,3 : rang-gran-gray,3 : rang-rand-darn,5 : rind-rend-nerd-herd-hero,
road, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : rood-rook,4 : goad-goas-goes-roes,3 : read-rend-send,2 : read-real,5 : goad-goat-ghat-shat-shit,4 : goad-goas-goes-hoes,4 : goad-gowd-gown-sown,3 : rood-rook-sook,4 : rood-pood-pond-pong,2 : roar-soar,4 : goad-goat-gnat-tang,4 : toad-toed-tied-tide,3 : read-reed-dree,4 : load-lead-leas-lase,4 : goad-goal-gaol-gall,3 : woad-word-ward,3 : read-dare-ware,3 : woad-wold-weld,3 : woad-wold-wild,2 : woad-wold,1 : woad,3 : goad-grad-gray,3 : read-dare-yare,4 : read-head-herd-hero,
rock, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : rocs-roes,3 : sock-sack-sank,4 : lock-lack-lace-lase,5 : bock-bosk-bosh-posh-pish,3 : rocs-roes-hoes,3 : rocs-rows-nows,1 : sock,3 : bock-bonk-bong,3 : sock-soak-soar,2 : rack-tack,3 : rick-rice-rime,4 : rack-race-rate-rete,3 : rack-race-rase,3 : rack-wack-walk,3 : rack-wack-wark,3 : rack-race-rave,4 : yock-yolk-yelk-yell,3 : rick-wick-wink,3 : rook-roof-woof,2 : rook-rood,5 : rack-rank-rang-gran-gray,3 : rack-rank-karn,3 : cork-core-cero,
rose, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : nose-sone-sane,2 : lose-lase,3 : hose-shoe-shop,1 : hose,3 : hose-shoe-show,3 : roes-rocs-rock,2 : nose-sone,2 : rase-sear,4 : hose-hone-honk-hank,2 : rise-rime,2 : rote-rete,1 : rase,3 : rase-rale-wale,3 : rase-rare-ware,2 : rase-rave,4 : dose-dole-dele-dell,3 : rise-wise-wine,2 : role-rolf,3 : roes-woes-woos,4 : rase-eras-bras-bray,3 : rase-rare-yare,3 : sore-core-cero,
sand, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : sane-sale,3 : said-skid-skip,4 : hand-haed-hoed-hoes,3 : wand-wans-wons,2 : sank-sack,1 : sang,3 : sard-rads-rats,1 : sank,3 : sane-sine-tine,4 : rand-rend-reed-dree,2 : sane-vane,3 : band-bald-ball,2 : wand-ward,2 : wand-wane,3 : wand-wend-weld,1 : wand,4 : band-bond-bold-wold,3 : wand-ward-word,3 : sard-yard-dray,2 : rand-darn,4 : hand-hard-herd-hero,
seal, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : seam-sham-shim,3 : seat-shat-shot,4 : seel-seen-sewn-sown,3 : sear-soar-soak,3 : sale-sole-sone,1 : sear,3 : teal-tale-talk,3 : meal-meat-tame,4 : deal-dear-deer-dree,1 : lase,2 : weal-well,3 : weal-wear-ware,2 : veal-lave,1 : weal,4 : deal-lead-lend-wend,3 : feal-foal-fowl,4 : deal-lead-load-woad,4 : feal-fear-frae-fray,3 : real-earl-earn,3 : heal-herl-hero,
ship, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : shop,2 : shop-show,4 : skip-skin-sink-sick,3 : shop-shog-snog,3 : shit-shat-stat,4 : skip-skin-sink-sank,3 : shit-smit-emit,4 : shin-thin-then-thee,3 : pish-pash-pase,4 : whip-whin-wain-wail,4 : whip-whap-wrap-warp,4 : pish-wish-wise-wive,5 : whip-whin-wain-wail-wall,3 : snip-pins-wins,4 : slip-flip-flop-flow,4 : shop-swop-wops-woos,5 : chip-chap-crap-frap-fray,4 : chip-chin-cain-carn,5 : shop-shoe-hoes-hoer-hero,
shoe, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : show,3 : shot-soot-sook,2 : shog-snog,3 : shog-shag-stag,4 : shot-snot-tons-tans,3 : hose-home-tome,4 : sloe-floe-froe-free,3 : sloe-lose-lase,4 : sloe-sole-sale-wale,4 : hoes-woes-waes-wars,3 : hose-hove-wove,4 : hose-hole-helo-hell,4 : show-snow-wons-wins,3 : sloe-floe-flow,3 : hoes-woes-woos,5 : sloe-floe-froe-frae-fray,5 : sloe-sole-sore-yore-yare,3 : hoes-hoer-hero,
snow, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : snot-soot-sook,1 : snog,2 : stow-staw,3 : snaw-wans-tans,4 : stow-stew-stem-item,4 : show-shew-thew-thee,4 : slow-sloe-lose-lase,4 : snaw-wans-waws-wawl,3 : snaw-wans-wars,3 : snaw-wans-wane,4 : stow-stew-west-welt,2 : wons-wins,2 : slow-flow,2 : wons-woos,5 : slow-blow-brow-braw-bray,3 : snaw-sawn-yawn,5 : show-shew-hews-hers-hero,
sock, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : bock-bonk-bong,2 : soak-soar,2 : sack-tack,4 : dock-dick-dice-dime,5 : dock-dork-dore-dere-dree,3 : sack-cask-case,3 : sack-wack-walk,3 : sack-wack-wark,4 : lock-lack-lace-lave,4 : yock-yolk-yelk-yell,3 : sick-wick-wink,4 : cock-cook-coof-woof,3 : hock-hook-hood,5 : sack-sark-sard-yard-dray,4 : bock-back-bark-barn,4 : cock-cork-core-cero,
song, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : sang-snag-stag,2 : tong-tang,3 : tong-ting-tine,4 : tong-tone-tyne-tyee,3 : sang-vang-vane,4 : sang-sane-wane-wale,4 : sang-sand-wand-ward,3 : sang-sane-wane,4 : sons-sols-sels-sell,2 : sing-wing,4 : bong-bond-bold-wold,3 : pong-pond-pood,4 : sang-rang-gran-gray,4 : sang-rang-rand-darn,4 : sone-cone-core-cero,
star, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : tars-tans,3 : tars-tams-tame,3 : rats-rets-rete,2 : sear-rase,4 : scar-cars-carl-call,2 : tars-wars,3 : sear-wear-ware,3 : sear-wear-weal,4 : staw-snaw-wans-wins,4 : staw-slaw-flaw-flow,4 : soar-roar-road-woad,3 : arts-arty-tray,2 : tars-tarn,4 : sear-year-aery-aero,
tank, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : tack-tace-tame,5 : bank-bark-bare-brae-bree,3 : bank-bask-base,2 : talk-walk,3 : bank-bark-wark,3 : bank-bane-wane,3 : talk-walk-wall,3 : bank-band-wand,5 : bank-bonk-bond-bold-wold,4 : hank-honk-hook-hood,4 : rank-rang-gran-gray,2 : rank-karn,5 : bank-bark-mark-merk-zerk,
time, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : rime-rite-rete,3 : lime-lame-lase,3 : tame-wame-wale,3 : tame-wame-ware,2 : tame-wame,3 : tile-wile-will,2 : tine-wine,4 : rime-rile-role-rolf,4 : tome-tole-told-wold,4 : tame-team-tram-tray,3 : tame-tare-yare,4 : tome-come-core-cero,
tree, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : rete-rate-rase,4 : twee-weet-welt-well,4 : bree-brae-bare-ware,3 : rete-rate-rave,3 : twee-weet-welt,4 : dree-reed-weed-wend,4 : free-flee-floe-flow,5 : dree-drew-draw-ward-word,2 : trey-tray,4 : bree-brae-bran-barn,4 : dree-dere-cere-cero,
vase, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : vale-wale,3 : base-bare-ware,1 : save,3 : lase-seal-weal,3 : vise-wise-wine,4 : rase-rose-role-rolf,5 : base-bale-bole-bold-wold,4 : base-bare-brae-bray,3 : base-bare-yare,4 : case-care-cere-cero,
wall, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : wale-ware,1 : wale,1 : well,2 : will-wild,3 : well-weld-wold,3 : well-weld-wold,4 : pall-paly-play-pray,3 : call-carl-carn,4 : hall-hell-herl-hero,
warm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : ware,3 : ware-wale-wall,2 : ward-wand,3 : worm-word-wold,2 : worm-word,3 : ward-yard-dray,1 : warn,3 : harm-herm-hero,
wave, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : wale-wall,2 : wive-wine,4 : rave-rove-role-rolf,3 : wove-wore-word,4 : fave-fare-frae-fray,2 : ware-yare,4 : cave-cove-core-cero,
well, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : will-wild,2 : weld-wold,2 : weld-wold,5 : bell-belt-beat-brat-bray,4 : cell-call-carl-carn,3 : hell-herl-hero,
wind, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : wild-wold,2 : wild-wold,4 : wand-ward-yard-dray,3 : rind-rand-darn,5 : hind-hand-hard-herd-hero,
wolf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : woof,4 : flow-flaw-flay-fray,4 : wold-word-ward-yard,5 : rolf-role-cole-core-cero,
wood, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : good-goad-grad-gray,3 : word-ward-yard,4 : hood-hoed-hoer-hero,
xray, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : dray-yard,5 : dray-yard-hard-herd-hero,
yarn, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : yare-aery-aero,
zero, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
